Time,Current,Voltage,Temperature
115.000007629395,-19.993279,3.4817984,26.43783
116.000007629395,-20.023822,3.4835024,26.617336
117,-20.037396,3.4856074,26.766275
118.000007629395,-20.050971,3.4873114,26.552391
119.000015258789,-20.030607,3.4888651,26.468372
120.000007629395,-20.037396,3.4906695,26.548576
121.000007629395,-20.039094,3.4924235,26.540947
122.000007629395,-20.025518,3.4933758,26.540947
123.000007629395,-19.959342,3.4957814,26.586771
124.000007629395,-20.05776,3.4970343,26.510382
125.000015258789,-20.049273,3.4986382,26.73571
126,-20.022127,3.5007432,26.407265
127.000007629395,-20.008551,3.501996,26.567673
128.000007629395,-20.006854,3.5039506,26.537132
129.000007629395,-20.025518,3.5055044,26.456928
130.000007629395,-20.006854,3.5066571,26.613497
131.000007629395,-20.05776,3.5086117,26.544762
132.000007629395,-19.991582,3.5101151,26.392006
133.000007629395,-19.998369,3.5116689,26.479839
134.000015258789,-19.989885,3.5132725,26.518034
135.000007629395,-19.989885,3.5147262,26.548576
136.000007629395,-19.996674,3.5163801,26.453114
137.000007629395,-19.932193,3.5179837,26.430178
138.000007629395,-20.030607,3.5194371,26.556229
139.000007629395,-20.06285,3.5209908,26.487469
140.000007629395,-20.010246,3.5230958,26.307987
141,-20.01873,3.523998,26.468372
142.000007629395,-20.005156,3.525351,26.598238
143.000007629395,-19.993279,3.527005,26.472187
144.000007629395,-20.035701,3.5287592,26.487469
145.000007629395,-20.05776,3.5300121,26.548576
146.000007629395,-20.027217,3.5315156,26.414919
147.000007629395,-19.986492,3.5327184,26.220131
148.000007629395,-20.049273,3.5344224,26.472187
149.000015258789,-20.035701,3.5353746,26.453114
150,-20.017035,3.5370786,26.361441
151.000007629395,-20.059455,3.538933,26.510382
152.000007629395,-20.006854,3.5400858,26.491283
153.000007629395,-20.037396,3.5414891,26.445459
154.000007629395,-19.994977,3.5427921,26.445459
155.000007629395,-20.017035,3.5442958,26.449274
156,-20.081514,3.5454986,26.426363
157.000007629395,-19.962736,3.5469019,26.349997
158.000015258789,-20.030607,3.5478542,26.552391
159.000007629395,-20.040791,3.5496583,26.353811
160.000007629395,-20.023822,3.550761,26.327061
161.000007629395,-20.027217,3.5520139,26.460743
162.000007629395,-20.027217,3.5539184,26.506567
163.000007629395,-19.981402,3.5551715,26.265978
164.000015258789,-20.01873,3.5564244,26.334715
165,-20.000066,3.5571761,26.445459
166.000007629395,-20.028914,3.5585294,26.498938
167.000007629395,-19.998369,3.5598824,26.40345
168.000007629395,-19.989885,3.5612357,26.3309
169.000007629395,-20.001764,3.5621378,26.250696
170.000007629395,-20.030607,3.5636914,26.327061
171.000007629395,-20.000066,3.5651951,26.353811
172.000007629395,-20.045881,3.5662975,26.33853
173.000015258789,-20.034004,3.5677009,26.369095
174.000007629395,-19.989885,3.5690041,26.212502
175.000007629395,-20.013641,3.5703571,26.334715
176.000007629395,-20.000066,3.5713596,26.349997
177.000007629395,-20.008551,3.572412,26.292706
178.000007629395,-19.966129,3.573715,26.208687
179.000007629395,-20.022127,3.5749681,26.392006
180,-20.052668,3.5762711,26.250696
181.000007629395,-19.979703,3.5775743,26.178122
182.000007629395,-19.974613,3.5790277,26.380539
183.000007629395,-20.074727,3.5796289,26.30415
184.000007629395,-19.989885,3.5810823,26.323246
185.000007629395,-19.933889,3.5824857,26.269793
186.000007629395,-20.073031,3.5832374,26.506567
187.000007629395,-20.017035,3.5841897,26.258326
188.000015258789,-19.966129,3.5858436,26.300335
189,-19.978008,3.5860441,26.380539
190.000007629395,-20.010246,3.5881991,26.227783
191.000007629395,-20.015338,3.5890512,26.204872
192.000007629395,-20.020428,3.590204,26.193403
193.000007629395,-20.064547,3.591507,26.235413
194.000007629395,-20.049273,3.5921586,26.185774
195.000007629395,-20.010246,3.593662,26.090288
196.000007629395,-20.000066,3.5942636,26.204872
197.000015258789,-20.052668,3.5956669,26.414919
198.000007629395,-19.986492,3.5968697,26.181936
199.000007629395,-19.959342,3.5980725,26.235413
200.000007629395,-20.011943,3.5983732,26.30415
201.000007629395,-20.001764,3.5996261,26.288891
202.000007629395,-20.023822,3.6009293,26.113199
203.000007629395,-20.011943,3.6018314,26.353811
204,-20.050971,3.602984,26.29652
205.000007629395,-20.076424,3.6039865,26.124668
206.000007629395,-19.993279,3.6054399,26.204872
207.000007629395,-20.028914,3.6063921,26.288891
208.000007629395,-19.981402,3.6071939,26.239227
209.000007629395,-20.045881,3.6084971,26.246881
210.000007629395,-20.037396,3.6093991,26.258326
211.000007629395,-19.984793,3.6104016,26.212502
212.000015258789,-19.974613,3.6113036,26.052094
213,-19.989885,3.6122057,26.208687
214.000007629395,-20.073031,3.6137092,26.139927
215.000007629395,-20.020428,3.6142106,26.292706
216.000007629395,-20.015338,3.615263,26.162863
217.000007629395,-20.054365,3.6164157,26.342344
218.000007629395,-20.039094,3.6174181,26.193403
219,-19.996674,3.6182199,26.10557
220.000007629395,-19.989885,3.619122,26.30415
221.000015258789,-20.013641,3.6203249,26.170492
222.000007629395,-20.020428,3.6209764,26.040649
223.000007629395,-19.978008,3.6217282,26.120829
224.000007629395,-20.047578,3.6231816,26.33853
225.000007629395,-19.959342,3.6243343,26.193403
226.000007629395,-19.978008,3.6244848,26.078819
227.000015258789,-20.013641,3.6258378,26.120829
228,-20.000066,3.6264393,26.33853
229.000007629395,-20.005156,3.627141,26.139927
230.000007629395,-19.996674,3.6283438,26.273607
231.000007629395,-20.01873,3.6292961,26.235413
232.000007629395,-19.998369,3.6300979,26.201033
233.000007629395,-20.011943,3.6307995,26.086473
234.000007629395,-20.011943,3.6314511,26.277422
235.000007629395,-19.996674,3.6328545,26.128483
236.000015258789,-19.969523,3.633105,26.201033
237.000007629395,-19.979703,3.6342578,26.231598
238.000007629395,-20.045881,3.6353602,26.231598
239.000007629395,-20.017035,3.6355608,26.067375
240.000007629395,-20.039094,3.6366134,26.055908
241.000007629395,-20.032307,3.6378162,26.212502
242.000007629395,-20.042486,3.6382673,26.193403
243,-19.969523,3.6385679,26.055908
244.000007629395,-20.047578,3.6391692,26.201033
245.000007629395,-20.071332,3.640322,26.136112
246.000007629395,-20.001764,3.6408231,25.979542
247.000007629395,-19.957646,3.6419759,26.155209
248.000007629395,-20.039094,3.6426775,26.216316
249.000007629395,-20.040791,3.6430285,26.273607
250.000007629395,-20.015338,3.6436799,26.067375
251.000015258789,-20.040791,3.6443315,26.101755
252,-20.011943,3.6451333,26.178122
253.000007629395,-19.971221,3.6458349,26.143764
254.000007629395,-19.961039,3.6465366,26.097918
255.000007629395,-20.022127,3.6475892,26.147579
256.000007629395,-20.032307,3.6479399,26.113199
257.000007629395,-19.991582,3.6481404,26.189589
258,-19.978008,3.6490927,26.239227
